Joueur;Taille;Age;Pts;Reb;Pd;D;V-D;Min;3P%;FG%;FT%;Ro;Reb.1;Pd.1;In;Bp;Ct;Fa;Pts.1;Eva;PTS;REB;AST;Unnamed: 24;Unnamed: 25
Nadir Hifi;1m84;23.0;19.9;3.1;3.8;23;17-6;21.4;36.8%;45.3%;89.4%;0.5;3.1;3.8;1.0;2.2;0.0;1.8;19.9;17.7;30.0;10.0;7.0;;
Jared Rhoden;1m98;26.0;13.1;2.9;1.7;15;10-5;19.5;36.4%;47.9%;84.6%;0.9;2.9;1.7;0.8;1.5;0.3;2.2;13.1;11.9;27.0;5.0;4.0;;
Justin Robinson;1m85;28.0;12.2;1.9;4.2;20;18-2;19.1;26.5%;33%;81%;0.2;1.9;4.2;1.1;2.7;0.1;2.5;12.2;8.9;20.0;4.0;7.0;;
Lamar Stevens;1m98;28.0;9.7;3.3;1.3;15;10-5;19.2;36.6%;41.6%;97.3%;0.7;3.3;1.3;0.5;1.6;0.6;2.5;9.7;9.3;21.0;10.0;5.0;;
Amath M'baye;2m05;36.0;9.6;1.8;1.1;22;15-7;16.6;44.2%;52.3%;83%;0.5;1.8;1.1;0.5;1.6;0.0;1.9;9.6;8.2;20.0;5.0;4.0;;
Sebastian Herrera;1m93;28.0;9.0;2.0;2.3;23;17-6;19.3;38.9%;42.7%;92%;0.8;2.0;2.3;0.9;1.0;0.1;1.8;9.0;9.3;19.0;6.0;5.0;;
Yakuba Ouattara;1m91;33.0;7.9;2.2;1.1;21;15-6;17.5;29.6%;42.7%;78.6%;0.8;2.2;1.1;0.2;1.1;0.1;1.4;7.9;6.3;19.0;6.0;6.0;;
Derek Willis;2m06;30.0;7.6;4.8;1.2;18;13-5;18.1;43.1%;52.3%;75.9%;1.6;4.8;1.2;0.8;1.3;0.4;2.3;7.6;10.7;13.0;11.0;3.0;;
Daulton Hommes;2m04;29.0;7.5;2.0;0.9;11;7-4;16.9;41.9%;52.8%;92.9%;0.8;2.0;0.9;0.7;0.6;0.5;2.3;7.5;8.6;15.0;5.0;2.0;;
Leopold Cavaliere;2m02;29.0;6.7;4.3;1.4;26;19-7;18.4;27%;58.4%;70.2%;1.8;4.3;1.4;0.7;1.0;0.1;1.6;6.7;9.9;20.0;14.0;4.0;;
Joel Ayayi;1m93;25.0;6.3;3.8;2.6;25;19-6;16.8;35.1%;50%;68.4%;1.5;3.8;2.6;1.4;1.6;0.1;1.6;6.3;9.8;14.0;10.0;11.0;;
Jeremy Morgan;2m00;30.0;6.1;1.5;1.8;15;11-4;16.1;41.5%;43.3%;92.3%;0.5;1.5;1.8;0.7;0.5;0.0;2.5;6.1;7.1;24.0;3.0;4.0;;
Mouhamed Faye;2m09;20.0;5.3;5.1;0.3;20;14-6;15.2;-;77.8%;61.1%;2.0;5.1;0.3;0.6;1.0;0.9;2.3;5.3;9.9;12.0;11.0;2.0;;
Ismael Bako;2m08;30.0;4.8;3.8;0.2;10;8-2;12.1;-;68%;77.8%;1.8;3.8;0.2;0.3;1.4;0.5;2.7;4.8;7.0;9.0;9.0;1.0;;
Allan Dokossi;2m03;26.0;4.5;5.7;2.2;22;15-7;16.4;0%;68.9%;58.3%;1.9;5.7;2.2;0.5;1.4;0.2;2.6;4.5;10.5;10.0;11.0;4.0;;
Ilian Moungalla;1m91;18.0;3.0;0.5;0.0;2;1-1;10.0;0%;25%;50%;0.0;0.5;0.0;0.0;1.0;0.5;1.0;3.0;-1.0;3.0;1.0;0.0;;
Enzo Shahrvin;2m00;22.0;2.1;4.3;0.9;16;15-1;10.6;-;60.9%;100%;2.1;4.3;0.9;0.4;0.9;1.1;2.8;2.1;7.3;7.0;9.0;3.0;;
Total;;;98.5;38.7;21.0;26;19-7;202.2;36%;47.7%;81.4%;13.2;38.7;21.0;8.5;16.0;3.3;24.4;98.5;113.0;;;;;
Adversaires;;;84.9;28.3;19.8;26;-;202.2;33.3%;42.7%;74.8%;9.1;28.3;19.8;7.5;15.3;2.9;22.3;84.9;84.6;;;;;
Ecart;;;136.0;104.0;12.0;0;-;0.0;2,7%;5,0%;6,6%;41.0;104.0;12.0;10.0;7.0;4.0;21.0;136.0;284.0;;;;;
